URL,Fully equipped kitchen,Garden Area,Surface of the land,Number of facades,Locality,Terrace,Swimming pool,Subtype of property,Living Area,Open fire,Type of property,Furnished,Price,State of the building,Garden,Terrace Area,Surface area of the plot of land,Number of rooms
https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/20284515,Installed,,,,2800 Mechelen,,,Apartment,,,Apartment,,225000,To be done up,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/lichtervelde/8810/20283269,,,,,8810 Lichtervelde,,,Apartment,,,Apartment,,295000,Good,,14,,2
https://www.immoweb.be/en/classified/duplex/for-sale/neder-over-heembeek/1120/20284519,Hyper equipped,,,2,1120 Neder-over-heembeek,,,Duplex,,,Duplex,No,325000,Good,,46,,3
https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9000/20286896,Installed,38,,3,9000 Gent,,,Ground floor,,,Ground floor,No,332500,Good,,20,,2
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20285372,Installed,,,,8370 Blankenberge,Yes,,Apartment,,,Apartment,,335000,Good,,,,2
https://www.immoweb.be/en/classified/penthouse/for-sale/gent/9000/20303024,Hyper equipped,,,4,9000 Gent,,,Penthouse,,,Penthouse,No,1325000,As new,,58,,3
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20301013,,,,,8370 Blankenberge,Yes,,Apartment,,,Apartment,,199000,As new,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/wielsbeke/8710/20299962,Installed,,,,8710 Wielsbeke,Yes,,Apartment,,,Apartment,No,281000,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20302040,Installed,,,2,8400 Oostende,,,Apartment,,,Apartment,No,329000,Just renovated,,2,,3
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20302039,Installed,,,2,8400 Oostende,,,Apartment,,,Apartment,No,335000,As new,,2,,2
https://www.immoweb.be/en/classified/apartment/for-sale/zeveneken/9080/20302598,Installed,,,,9080 Zeveneken,,,Apartment,,,Apartment,,394308,As new,,21,,2
https://www.immoweb.be/en/classified/apartment/for-sale/saint-gilles/1060/20302133,Not installed,,,2,,,,Apartment,,,Apartment,No,445000,As new,,80,,1
