URL,Number of facades,Number of rooms,Terrace,Type of property,Swimming pool,Garden Area,Surface of the land,Locality,Living Area,Terrace Area,Fully equipped kitchen,State of the building,Furnished,Surface area of the plot of land,Garden,Open fire,Subtype of property,Price
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/knokke-heist/8300/10096361,,,,Kalvekeet,,,,8300 Knokke-Heist,,,,,,,,,Kalvekeet,From735000To900000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/kruibeke/9150/10598912,,,,,,,,9150 Kruibeke,,,,,,,,,,From735000To763000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/uccle/1180/20196486,,,,Les Promenades d'Uccle - MAISONS 42-48,,,,1180 Uccle,,,,,,,,,Les Promenades d'Uccle - MAISONS 42-48,From774500To808500
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/uccle/1180/20181459,,,,Les Promenades d'Uccle - MAISONS 37-41,,,,1180 Uccle,,,,,,,,,Les Promenades d'Uccle - MAISONS 37-41,From786000To814000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/berchem-sainte-agathe/1082/11104838,,,,Kasterlinden,,,,1082 Berchem-Sainte-Agathe,,,,,,,,,Kasterlinden,From788000To899259
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/elsene/1050/20026087,,,,Spring Gardens - 6% - EPC A++ - Geothermie,,,,1050 Elsene,,,,,,,,,Spring Gardens - 6% - EPC A++ - Geothermie,From1200000To1375000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/zaventem-sterrebeek/1933/11018115,,,,STEREA - VILLAS,,,,1933 Zaventem Sterrebeek,,,,,,,,,STEREA - VILLAS,From2915000To3140000
https://www.immoweb.be/en/classified/house/for-sale/florennes/5621/20305976,4,4,,House,,1square meter,,5621 Florennes,,1square meter,Installed,As new,,,,,House,299000
https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/20227431,2,3,,House,,30,,9300 Aalst,,30,Semi equipped,To renovate,No,,,,House,119000
https://www.immoweb.be/en/classified/house/for-sale/heule/8501/20278586,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/arlon/6700/20174586,4,3,Yes,House,,719,,6700 Arlon,,,Not installed,Good,No,,,,House,349000
https://www.immoweb.be/en/classified/villa/for-sale/orroir/7750/20278603,4,4,Yes,Villa,,,,7750 Orroir,,,,Good,No,,,,Villa,475000
https://www.immoweb.be/en/classified/house/for-sale/izegem/8870/20305902,,,,House,,,,8870 Izegem,,,Semi equipped,To renovate,No,,,,House,235000
https://www.immoweb.be/en/classified/house/for-sale/beersel/1650/20300585,2,4,,House,,,,1650 BEERSEL,,,Installed,Good,,,,,House,395000
https://www.immoweb.be/en/classified/exceptional-property/for-sale/bourseigne-vieille/5575/20309175,4,7,,Exceptional property,,330,,5575 Bourseigne-Vieille,,25,Installed,As new,Yes,,,,Exceptional property,630000
https://www.immoweb.be/en/classified/house/for-sale/moerkerke/8340/20309460,4,5,,House,,,,8340 Moerkerke,,,,,,,,,House,880000
https://www.immoweb.be/en/classified/house/for-sale/putte/2580/20290945,,4,Yes,House,,,,2580 Putte,,,Installed,To be done up,,,,,House,378000
https://www.immoweb.be/en/classified/villa/for-sale/duffel/2570/20290187,4,5,,Villa,,1050,,2570 Duffel,,15,Hyper equipped,Good,No,,,,Villa,675000
https://www.immoweb.be/en/classified/house/for-sale/vaalbeek/3054/20290893,,6,Yes,House,,,,3054 Vaalbeek,,,Installed,To renovate,No,,,,House,680000
https://www.immoweb.be/en/classified/villa/for-sale/drongen/9031/20289624,4,5,,Villa,,,,9031 Drongen,,,,As new,,,,,Villa,1199000
https://www.immoweb.be/en/classified/house/for-sale/zulte/9870/20214740,3,3,Yes,House,,,,9870 Zulte,,,,To renovate,No,,,,House,210000
https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/20264881,2,4,,House,,65,,2660 HOBOKEN,,,,As new,,,,,House,314000
https://www.immoweb.be/en/classified/house/for-sale/huy/4500/20297758,3,3,,House,,30,,4500 Huy,,15,Not installed,As new,No,,,,House,295000
https://www.immoweb.be/en/classified/house/for-sale/heule-kortrijk/8501/20300664,2,5,,House,,,,8501 Heule (Kortrijk),,,,,No,,,,House,199000
https://www.immoweb.be/en/classified/house/for-sale/braine-le-chateau/1440/20301817,3,3,,House,,,,1440 Braine-le-Ch�teau,,,,,No,,,,House,229000
https://www.immoweb.be/en/classified/house/for-sale/kessel-lo/3010/20302528,,3,,House,,26,,3010 Kessel-Lo,,,,,,,,,House,329000
https://www.immoweb.be/en/classified/house/for-sale/sprimont/4140/20299744,4,3,,House,,563,,4140 Sprimont,,18,Semi equipped,To be done up,No,,,,House,335000
https://www.immoweb.be/en/classified/house/for-sale/lommel/3920/20300088,,3,,House,,,,3920 Lommel,,,,Good,,,,,House,365000
