URL,Type of property,Terrace,Open fire,Price,Garden Area,Surface of the land,Terrace Area,Number of rooms,Subtype of property,Fully equipped kitchen,State of the building,Locality,Living Area,Number of facades,Surface area of the plot of land,Swimming pool,Garden,Furnished
https://www.immoweb.be/en/classified/house/for-sale/maldegem/9990/20311361,House,Yes,,235000,200,,,3,House,Installed,To renovate,9990 Maldegem,,3,,,,No
https://www.immoweb.be/en/classified/house/for-sale/aalst-9300/9300/20313597,House,Yes,,255000,,,,3,House,Semi equipped,To renovate,9300 Aalst (9300),,,,,,
https://www.immoweb.be/en/classified/house/for-sale/moorsel/9310/20313536,House,Yes,,255000,,,,3,House,Semi equipped,To renovate,9310 Moorsel,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/redu/6890/20312732,House,,,795000,903,,80,4,House,Installed,As new,6890 REDU,,3,,,,
https://www.immoweb.be/en/classified/villa/for-sale/sint-martens-latem/9830/20314001,Villa,,,895000,,,,3,Villa,Installed,Just renovated,9830 SINT-MARTENS-LATEM,,4,,,,
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20309572,House,,,179000,145,,19,3,House,Semi equipped,Good,4100 Seraing,,2,,,,No
https://www.immoweb.be/en/classified/house/for-sale/bouillon-corbion/6838/20305728,House,,,149500,400,,15,5,House,Not installed,To renovate,6838 Bouillon Corbion,,2,,,,No
https://www.immoweb.be/en/classified/house/for-sale/grace-hollogne/4460/20305941,House,,,179000,275,,,2,House,Semi equipped,To renovate,4460 Grâce-Hollogne,,2,,,,No
https://www.immoweb.be/en/classified/house/for-sale/ans/4430/20305771,House,,,230000,187,,40,3,House,Installed,Good,4430 Ans,,2,,,,Yes
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/forest/1190/20308635,Mixed-use building,,,299000,10,,4,4,Mixed-use building,Installed,To renovate,1190 Forest,,2,,,,No
https://www.immoweb.be/en/classified/exceptional-property/for-sale/moircy/6800/20308815,Exceptional property,,,495000,,,,5,Exceptional property,Not installed,To be done up,6800 MOIRCY,,4,,,,
https://www.immoweb.be/en/classified/house/for-sale/oosteeklo/9968/20315064,House,Yes,,289000,,,,3,House,Installed,To renovate,9968 Oosteeklo,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20316174,House,,,295000,100,,40,2,House,Hyper equipped,Good,4100 Seraing,,3,,,,No
https://www.immoweb.be/en/classified/house/for-sale/erembodegem/9320/20316710,House,,,349000,240,,,3,House,,Good,9320 Erembodegem,,,,,,No
https://www.immoweb.be/en/classified/villa/for-sale/seraing/4100/20315332,Villa,,,369000,400,,50,4,Villa,Semi equipped,To be done up,4100 SERAING,,4,,,,
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20315550,House,,,375000,56,,,3,House,Installed,To be done up,9000 Gent,,2,,,,No
https://www.immoweb.be/en/classified/house/for-sale/gent-drongen/9031/20311356,House,Yes,,395000,,,,3,House,Installed,To renovate,9031 Gent Drongen,,2,,,,No
https://www.immoweb.be/en/classified/house/for-sale/boom/2850/20315979,House,,,429000,38,,,4,House,,Just renovated,2850 Boom,,2,,,,
https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/20317089,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/mechelen/2800/20317088,Mixed-use building,,,449000,,,20,3,Mixed-use building,Installed,Good,2800 MECHELEN,,2,,,,
https://www.immoweb.be/en/classified/house/for-sale/vilvoorde/1800/20315506,House,,,570000,50,,20,5,House,Hyper equipped,Good,1800 Vilvoorde,,2,,,,No
https://www.immoweb.be/en/classified/villa/for-sale/deerlijk/8540/20316549,Villa,Yes,,799500,,,,3,Villa,Installed,Good,8540 DEERLIJK,,4,,,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/ronse/9600/20309998,Mixed-use building,Yes,,449000,,,,16,Mixed-use building,Semi equipped,To renovate,9600 RONSE,,2,,,,
https://www.immoweb.be/en/classified/mansion/for-sale/ronse/9600/20309995,Mansion,Yes,,449000,,,,16,Mansion,Semi equipped,To renovate,9600 RONSE,,2,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/knokke/8300/20298579,,,,From1125000To1595000,,,,,,,,8300 Knokke,,,,,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/seraing/4101/20311767,Mixed-use building,,,169900,,,20,2,Mixed-use building,Installed,As new,4101 Seraing,,2,,,,
https://www.immoweb.be/en/classified/house/for-sale/melle/9090/20313488,House,,,249000,,,15,1,House,Installed,Good,9090 MELLE,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/nieuwerkerken/9320/20307293,House,Yes,,299000,,,,4,House,Hyper equipped,Good,9320 NIEUWERKERKEN,,2,,,,
https://www.immoweb.be/en/classified/house/for-sale/ninove/9400/20311659,House,,,315000,522,,,3,House,Installed,Good,9400 NINOVE,,,,,,
