URL,Number of rooms,Surface area of the plot of land,State of the building,Type of property,Garden Area,Fully equipped kitchen,Price,Garden,Surface of the land,Locality,Subtype of property,Living Area,Furnished,Number of facades,Terrace,Open fire,Terrace Area,Swimming pool
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/20150285,2,,As new,Apartment,2800,Installed,290000,,,4000 Liège,Apartment,,No,4,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20279556,3,,Good,Apartment,,,695000,,,8400 Oostende,Apartment,,No,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/20291797,1,,Good,Apartment,,Installed,160000,,,6700 ARLON,Apartment,,,4,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/nivelles/1400/20291885,3,,To be done up,Apartment,,Installed,230000,,,1400 NIVELLES,Apartment,,,2,,,,
https://www.immoweb.be/en/classified/triplex/for-sale/uccle/1180/20291734,2,,As new,Triplex,,Hyper equipped,345000,,,1180 Uccle,Triplex,,No,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20291724,2,,Good,Apartment,,Hyper equipped,495000,,,1050 Ixelles,Apartment,,No,2,Yes,,,
https://www.immoweb.be/en/classified/flat-studio/for-sale/blankenberge/8370/20306467,,,As new,Flat studio,,,139000,,,8370 Blankenberge,Flat studio,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/ronse/9600/20306336,2,,Good,Apartment,,Installed,179000,,,9600 Ronse,Apartment,,No,2,,,,
https://www.immoweb.be/en/classified/flat-studio/for-sale/leuven/3000/20308854,1,,Just renovated,Flat studio,,Installed,180000,,,3000 LEUVEN,Flat studio,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20303792,2,,Just renovated,Apartment,,Installed,455000,,,9000 Gent,Apartment,,,,,,6,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20308256,4,,As new,Apartment,52,Installed,999000,,,9000 Gent,Apartment,,,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/20257881,2,,Good,Apartment,,Installed,209000,,,2140 BORGERHOUT,Apartment,,,2,,,8,
https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-lambert/1200/20185840,2,,To be done up,Penthouse,,Semi equipped,449000,,,1200 Woluwe-Saint-Lambert,Penthouse,,No,3,,,100,
https://www.immoweb.be/en/classified/flat-studio/for-sale/ixelles/1050/20258373,1,,As new,Flat studio,,Not installed,165000,,,1050 Ixelles,Flat studio,,Yes,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20275032,1,,Good,Apartment,,Installed,215000,,,8400 Oostende,Apartment,,Yes,,,,6,
https://www.immoweb.be/en/classified/penthouse/for-sale/evere/1140/20261439,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20189681,2,,Good,Apartment,,Installed,495000,,,1000 Bruxelles,Apartment,,No,2,,,1square meter,
