URL,Locality,Furnished,Open fire,Garden Area,Type of property,Terrace,Garden,Price,Subtype of property,Fully equipped kitchen,Surface of the land,Number of facades,State of the building,Surface area of the plot of land,Swimming pool,Living Area,Terrace Area,Number of rooms
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20055449,1080 MOLENBEEK-SAINT-JEAN,,,,Apartment,,,200000,Apartment,Installed,,2,Good,,,,23,1
https://www.immoweb.be/en/classified/apartment/for-sale/opwijk/1745/20144817,1745 OPWIJK,,,,Apartment,,,200000,Apartment,Installed,,,To be done up,,,,,3
https://www.immoweb.be/en/classified/service-flat/for-sale/sint-denijs-westrem/9051/20203956,9051 SINT-DENIJS-WESTREM,,,,Service flat,Yes,,205000,Service flat,Semi equipped,,2,Good,,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/izegem/8870/11012300,8870 Izegem,No,,,Apartment,,,208000,Apartment,Installed,,,Good,,,,8,2
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20121802,8400 Oostende,,,,Apartment,,,210000,Apartment,Installed,,,Just renovated,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/de-panne/8660/20217935,8660 De Panne,,,,Apartment,Yes,,217000,Apartment,Installed,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/11475669,1080 MOLENBEEK-SAINT-JEAN,No,,,Apartment,,,224500,Apartment,Semi equipped,,2,Good,,,,3,2
https://www.immoweb.be/en/classified/flat-studio/for-sale/bruxelles/1000/11374071,1000 Bruxelles,No,,,Flat studio,,,225000,Flat studio,Installed,,2,Good,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20217629,1180 UCCLE,,,,Apartment,,,225000,Apartment,,,3,Good,,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/20233482,2660 HOBOKEN,,,,Apartment,,,225000,Apartment,Installed,,2,As new,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/20082088,8434 Westende,Yes,,,Apartment,Yes,,225000,Apartment,,,,Just renovated,,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/gentbrugge/9050/20124822,9050 Gentbrugge,No,,,Apartment,,,225000,Apartment,,,,Good,,,,3,2
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20040699,8370 BLANKENBERGE,,,,Apartment,,,227500,Apartment,Installed,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/gits/8830/20073718,8830 Gits,,,,Apartment,Yes,,229000,Apartment,Installed,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/rumbeke/8800/20044025,8800 Rumbeke,,,,Apartment,Yes,,235000,Apartment,Installed,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/frasnes-lez-buissenal/7911/20229187,7911 Frasnes-lez-Buissenal,,,,Apartment,,,239000,Apartment,Installed,,,As new,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/zeebrugge/8380/11201815,8380 Zeebrugge,,,,Apartment,Yes,,239000,Apartment,Installed,,2,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/20191719,8620 Nieuwpoort,,,,Apartment,Yes,,239000,Apartment,Installed,,,Good,,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/aalst-9300/9300/20242721,9300 Aalst (9300),No,,,Apartment,Yes,,239000,Apartment,Installed,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/evergem/9940/11455517,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/20199350,8500 Kortrijk,,,,Apartment,,,239500,Apartment,Installed,,2,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/waterloo/1410/20027687,1410 Waterloo,No,,303,Apartment,,,245000,Apartment,Not installed,,2,To renovate,,,,26,2
https://www.immoweb.be/en/classified/apartment/for-sale/bredene/8450/20002423,8450 Bredene,No,,,Apartment,,,245000,Apartment,Installed,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/gentbrugge/9050/20239949,9050 Gentbrugge,No,,,Apartment,,,249000,Apartment,,,,To be done up,,,,10,2
https://www.immoweb.be/en/classified/apartment/for-sale/rumst/2840/20179942,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/nivelles/1400/20237578,1400 Nivelles,No,,,Apartment,,,250000,Apartment,Installed,,2,Good,,,,10,2
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20220993,2600 BERCHEM,,,,Apartment,,,259000,Apartment,Semi equipped,,2,Good,,,,11,3
https://www.immoweb.be/en/classified/apartment/for-sale/tienen/3300/11368274,3300 TIENEN,,,,Apartment,,,265000,Apartment,,,3,Just renovated,,,,,2
https://www.immoweb.be/en/classified/penthouse/for-sale/zeebrugge/8380/11455318,8380 Zeebrugge,,,,Penthouse,Yes,,265000,Penthouse,Installed,,,Good,,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20207712,8400 Oostende,,,,Apartment,,,265000,Apartment,,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/zottegem/9620/20053803,9620 Zottegem,No,,,Apartment,,,265000,Apartment,,,2,Good,,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2050/2050/20229964,2050 Antwerpen (2050),,,,Apartment,Yes,,269000,Apartment,,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/de-panne/8660/10665968,8660 De Panne,,,,Apartment,Yes,,269000,Apartment,Installed,,,Good,,,,,2
https://www.immoweb.be/en/classified/service-flat/for-sale/oudenaarde/9700/11067851,9700 Oudenaarde,,,,Service flat,,,269000,Service flat,Installed,,2,As new,,,,10,1
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/11389499,1150 Woluwe-Saint-Pierre,No,,,Apartment,,,275000,Apartment,Installed,,2,Good,,,,6,1
