URL,Subtype of property,Number of facades,Number of rooms,Price,Living Area,State of the building,Furnished,Terrace,Open fire,Terrace Area,Surface area of the plot of land,Swimming pool,Garden Area,Surface of the land,Garden,Locality,Type of property,Fully equipped kitchen
https://www.immoweb.be/en/classified/apartment-block/for-sale/antwerpen/2060/20288701,Apartment block,2,6,379900,,To be done up,,,,13,,,,,,2060 ANTWERPEN,Apartment block,Installed
https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2060/20288700,House,2,6,379900,,To be done up,,,,13,,,,,,2060 ANTWERPEN,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/evergem/9940/20287762,House,,4,415000,,Good,,Yes,,,,,,,,9940 Evergem,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/strombeek-bever/1853/20284814,House,3,4,499000,,To renovate,,Yes,,,,,,,,1853 STROMBEEK-BEVER,House,Semi equipped
https://www.immoweb.be/en/classified/town-house/for-sale/sint-pieters-woluwe/1150/20288821,Town-house,2,4,685000,,Good,No,,,12,,,45,,,1150 Sint-Pieters-Woluwe,Town-house,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/20288786,House,3,4,1595000,,Good,No,Yes,,,,,,,,8300 Knokke-Heist,House,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/20288811,House,4,4,1700000,,Good,Yes,Yes,,,,,,,,8300 Knokke-Heist,House,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/helecine/1357/20311816,House,4,3,335000,,As new,,,,,,,,,,1357 H�l�cine,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/20313831,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/20313827,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/20313830,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/20313837,,,,,,,,,,,,,,,,,,
