URL,Locality,Type of property,Furnished,Number of rooms,Fully equipped kitchen,Living Area,Open fire,Terrace Area,Surface of the land,Surface area of the plot of land,Terrace,Swimming pool,Subtype of property,Price,Number of facades,Garden,State of the building,Garden Area
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20316855,1050 Ixelles,Apartment,No,2,Hyper equipped,,,2,,,,,Apartment,329000,2,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/avelgem/8580/20315316,8580 AVELGEM,Apartment,,3,,,,,,,Yes,,Apartment,359000,2,,Good,
https://www.immoweb.be/en/classified/loft/for-sale/gent/9000/20316654,9000 Gent,Loft,No,1,,,,30,,,,,Loft,745000,,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/harelbeke/8530/20309437,8530 HARELBEKE,Apartment,,2,Installed,,,,,,Yes,,Apartment,685000,2,,Good,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/uccle/1180/20301476,1180 Uccle,CARRE COGHEN - UCCLE -,,,,,,,,,,,CARRE COGHEN - UCCLE -,From150000To980000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/ixelles/1050/20300540,,CAMBRE STUDENT LIVING - IXELLES,,,,,,,,,,,CAMBRE STUDENT LIVING - IXELLES,From216500To265500,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/deinze/9800/20299984,9800 Deinze,Liv - De Molens Fase 2,,,,,,,,,,,Liv - De Molens Fase 2,From235000To550000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/evere/1140/20299475,1140 Evere,Artico,,,,,,,,,,,Artico,From240000To528000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/grembergen/9200/20301130,9200 GREMBERGEN,"Residentie ""De Smidse""",,,,,,,,,,,"Residentie ""De Smidse""",From243650To271650,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/ixelles/1050/20302101,1050 Ixelles,CHOCOLATERIE,,,,,,,,,,,CHOCOLATERIE,From307000To1795000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/woluwe-saint-lambert/1200/20299499,,W56,,,,,,,,,,,W56,From340000To1435000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/deinze/9800/20299878,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/tienen/3300/20298238,3300 TIENEN,Apartment,,2,,,,22,,,,,Apartment,189000,4,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2018/2018/20299083,2018 ANTWERPEN 2018,Apartment,,3,Not installed,,,18,,,,,Apartment,495000,,,To be done up,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2000/2000/20299084,2000 ANTWERPEN 2000,Apartment,,2,Hyper equipped,,,35,,,,,Apartment,695000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20313616,9000 Gent,Apartment,No,2,Hyper equipped,,,10,,,,,Apartment,310000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20313590,9000 Gent,Apartment,No,2,Hyper equipped,,,14,,,,,Apartment,355000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20313521,9000 Gent,Apartment,No,3,Hyper equipped,,,13,,,,,Apartment,355000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/20314622,9051 Sint-Denijs-Westrem,Apartment,No,2,Hyper equipped,,,14,,,,,Apartment,355000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/20314618,9051 Sint-Denijs-Westrem,Apartment,No,3,Hyper equipped,,,13,,,,,Apartment,355000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/20314382,9051 Sint-Denijs-Westrem,Apartment,No,2,Hyper equipped,,,14,,,,,Apartment,355000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/20314291,9051 Sint-Denijs-Westrem,Apartment,No,3,Hyper equipped,,,13,,,,,Apartment,355000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20313626,9000 Gent,Apartment,No,3,Hyper equipped,,,13,,,,,Apartment,365000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/20314620,9051 Sint-Denijs-Westrem,Apartment,No,3,Hyper equipped,,,13,,,,,Apartment,365000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/20314290,9051 Sint-Denijs-Westrem,Apartment,No,3,Hyper equipped,,,13,,,,,Apartment,365000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20313497,9000 Gent,Apartment,No,2,Hyper equipped,,,10,,,,,Apartment,370000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/20314624,9051 Sint-Denijs-Westrem,Apartment,No,2,Hyper equipped,,,10,,,,,Apartment,370000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/20314064,9051 Sint-Denijs-Westrem,Apartment,No,2,Hyper equipped,,,10,,,,,Apartment,370000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20313554,9000 Gent,Apartment,No,2,Hyper equipped,,,10,,,,,Apartment,380000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/20315792,9051 Sint-Denijs-Westrem,Apartment,No,2,Hyper equipped,,,10,,,,,Apartment,380000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/20314629,9051 Sint-Denijs-Westrem,Apartment,No,2,Hyper equipped,,,10,,,,,Apartment,380000,,,Good,
