URL,Garden Area,Garden,Price,Type of property,Subtype of property,Open fire,State of the building,Surface of the land,Locality,Fully equipped kitchen,Number of facades,Terrace,Living Area,Swimming pool,Furnished,Number of rooms,Surface area of the plot of land,Terrace Area
https://www.immoweb.be/en/classified/apartment/for-sale/musson/6750/11301791,,,235000,Apartment,Apartment,,Good,,6750 Musson,Semi equipped,,Yes,,,No,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/maldegem/9990/20108882,,,237000,Apartment,Apartment,,Good,,9990 Maldegem,,2,Yes,,,No,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/11429112,,,239000,Apartment,Apartment,,Good,,1000 Brussel,Installed,2,,,,Yes,1,,
https://www.immoweb.be/en/classified/ground-floor/for-sale/neder-over-heembeek/1120/20195848,,,239000,Ground floor,Ground floor,,To renovate,,1120 Neder-Over-Heembeek,Not installed,3,,,,No,3,,9
https://www.immoweb.be/en/classified/apartment/for-sale/grimbergen/1853/11150560,,,239000,Apartment,Apartment,,Good,,1853 Grimbergen,Installed,3,,,,No,2,,27
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/11251987,,,245000,Apartment,Apartment,,As new,,2060 ANTWERPEN,Hyper equipped,2,Yes,,,,1,,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-niklaas/9100/20041193,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/tielt-8700/8700/20160326,,,248000,Apartment,Apartment,,Good,,8700 Tielt (8700),,,,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/20219368,,,249000,Apartment,Apartment,,Good,,1081 Koekelberg,Installed,2,,,,No,2,,10
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2610/20154411,,,249000,Apartment,Apartment,,Good,,2610 Antwerpen,Installed,,,,,,2,,5
https://www.immoweb.be/en/classified/apartment/for-sale/zeebrugge/8380/11027488,,,249000,Apartment,Apartment,,Good,,8380 ZEEBRUGGE,Installed,4,,,,,1,,
