URL,Open fire,Subtype of property,Fully equipped kitchen,Surface of the land,Surface area of the plot of land,Furnished,Terrace Area,Price,Number of facades,Number of rooms,Garden,State of the building,Swimming pool,Type of property,Terrace,Locality,Garden Area,Living Area
https://www.immoweb.be/en/classified/penthouse/for-sale/knokke/8300/20152729,,Penthouse,Installed,,,Yes,,695000,2.0,2.0,,Just renovated,,Penthouse,Yes,8300 Knokke,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20224776,,Apartment,Hyper equipped,,,Yes,,775000,2.0,2.0,,Good,,Apartment,Yes,8300 Knokke-Heist,,
https://www.immoweb.be/en/classified/apartment/for-sale/duinbergen/8301/11489491,,Apartment,,,,No,5,775000,,2.0,,Good,,Apartment,,8301 Duinbergen,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20015813,,Apartment,Hyper equipped,,,Yes,,795000,2.0,2.0,,Good,,Apartment,Yes,8300 Knokke,,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20122667,,Apartment,,,,No,,800000,3.0,2.0,,As new,,Apartment,,1050 Ixelles,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/11028614,,Apartment,Hyper equipped,,,Yes,4,815000,2.0,3.0,,Just renovated,,Apartment,,8300 Knokke,,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2000/2000/20146170,,Apartment,Hyper equipped,,,No,10,895000,,2.0,,As new,,Apartment,,2000 Antwerpen (2000),,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/11484324,,Apartment,,,,,,899000,,2.0,,Good,,Apartment,Yes,8300 Knokke,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20198606,,Apartment,,,,,76,945000,,2.0,,Good,,Apartment,,8300 Knokke-Heist,,
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/20066595,,Apartment,,,,Yes,,975000,,2.0,,As new,,Apartment,Yes,8620 Nieuwpoort,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20153981,,Apartment,,,,,,995000,,2.0,,Good,,Apartment,Yes,8300 Knokke,,
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/20190533,,Apartment,Hyper equipped,,,Yes,,1050000,,3.0,,As new,,Apartment,Yes,8620 Nieuwpoort,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/10685690,,Apartment,,,,Yes,,1180000,,3.0,,As new,,Apartment,Yes,8300 Knokke,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-zoute/8300/11465310,,Apartment,Hyper equipped,,,,,1190000,,2.0,,As new,,Apartment,,8300 Knokke-Zoute,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/11032826,,Apartment,Hyper equipped,,,,,1195000,,3.0,,Just renovated,,Apartment,Yes,8300 Knokke,,
https://www.immoweb.be/en/classified/apartment/for-sale/duinbergen/8301/11348387,,Apartment,,,,,,1198000,,2.0,,Just renovated,,Apartment,Yes,8301 Duinbergen,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10519211,,Apartment,,,,,,1250000,,2.0,,Just renovated,,Apartment,Yes,8300 Knokke-Heist,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20225086,,Apartment,,,,,,1370000,,3.0,,As new,,Apartment,Yes,8300 Knokke,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/11461944,,Apartment,,,,,,1375000,,3.0,,As new,,Apartment,Yes,8300 Knokke,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/11282980,,Apartment,Hyper equipped,,,Yes,,1375000,2.0,3.0,,As new,,Apartment,Yes,8300 Knokke,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/11410051,,Apartment,Hyper equipped,,,Yes,,1375000,2.0,3.0,,Just renovated,,Apartment,Yes,8300 Knokke-Heist,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/11427747,,Apartment,,,,,,1385000,2.0,3.0,,Good,,Apartment,Yes,8300 Knokke,,
https://www.immoweb.be/en/classified/apartment/for-sale/duinbergen/8301/11427746,,Apartment,,,,,,1385000,2.0,3.0,,Good,,Apartment,Yes,8301 Duinbergen,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/11316742,,Apartment,,,,No,,1590000,,2.0,,Good,,Apartment,Yes,8300 Knokke-Heist,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20191704,,Apartment,,,,Yes,,1595000,,3.0,,Good,,Apartment,,8300 Knokke,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/11145923,,Apartment,,,,,,1595000,,3.0,,As new,,Apartment,Yes,8300 Knokke,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/11292068,,Apartment,,,,Yes,,1650000,,3.0,,Just renovated,,Apartment,Yes,8300 Knokke-Heist,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/10805218,,Apartment,Hyper equipped,,,,,1650000,3.0,3.0,,Just renovated,,Apartment,,8300 Knokke,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-zoute/8300/20153992,,Apartment,Installed,,,,,2790000,,3.0,,As new,,Apartment,Yes,8300 Knokke-Zoute,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/10776308,,Apartment,,,,,,2990000,,3.0,,As new,,Apartment,Yes,8300 Knokke,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-zoute/8300/20057126,,Apartment,,,,Yes,,3295000,,4.0,,Just renovated,,Apartment,Yes,8300 Knokke-Zoute,,
https://www.immoweb.be/en/classified/ground-floor/for-sale/hoboken/2660/20265596,,Ground floor,Installed,,,,,158000,2.0,1.0,,To be done up,,Ground floor,,2660 HOBOKEN,,
https://www.immoweb.be/en/classified/loft/for-sale/borgerhout/2140/20264681,,Loft,Hyper equipped,,,No,12,498000,,2.0,,,,Loft,,2140 Borgerhout,,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20265778,,Apartment,Installed,,,,6,725000,2.0,2.0,,,,Apartment,,2000 ANTWERPEN,,
https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/20140686,,Penthouse,Hyper equipped,,,No,65,995000,2.0,5.0,,As new,,Penthouse,,1180 Uccle,,
https://www.immoweb.be/en/classified/apartment/for-sale/aalst/9300/20280664,,Apartment,Installed,,,No,,175000,,2.0,,Good,,Apartment,Yes,9300 Aalst,,
https://www.immoweb.be/en/classified/flat-studio/for-sale/ccn/1030/20271824,,Flat studio,,,,,,180000,,1.0,,Good,,Flat studio,,1030 CCN,,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20267040,,Apartment,Installed,,,No,5,419900,2.0,3.0,,As new,,Apartment,,2018 Antwerpen,,
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20156736,,Apartment,,,,Yes,,620000,2.0,6.0,,Just renovated,,Apartment,Yes,8370 Blankenberge,,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-idesbald/8670/20213478,,Apartment,,,,,,450000,,2.0,,Good,,Apartment,Yes,8670 Sint-Idesbald,,
https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9000/20293744,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/ground-floor/for-sale/gent-sint-denijs-westrem/9051/20293762,,Ground floor,Hyper equipped,,,No,12,280000,2.0,2.0,,As new,,Ground floor,,9051 Gent Sint-Denijs-Westrem,,
https://www.immoweb.be/en/classified/ground-floor/for-sale/gent-sint-denijs-westrem/9051/20293752,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent-sint-denijs-westrem/9051/20293764,,Apartment,Hyper equipped,,,No,12,340000,2.0,2.0,,As new,,Apartment,,9051 Gent Sint-Denijs-Westrem,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent-sint-denijs-westrem/9051/20293753,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent-sint-denijs-westrem/9051/20293767,,Apartment,Hyper equipped,,,No,29,390000,2.0,3.0,,As new,,Apartment,,9051 Gent Sint-Denijs-Westrem,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20293798,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20293799,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20294143,,Apartment,Installed,,,No,,157500,2.0,2.0,,Good,,Apartment,,8400 Oostende,,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20293959,,Apartment,Installed,,,No,,259000,2.0,1.0,,Good,,Apartment,,1050 Ixelles,,
https://www.immoweb.be/en/classified/apartment/for-sale/vilvoorde/1800/20294306,,Apartment,Hyper equipped,,,No,4,279000,2.0,2.0,,,,Apartment,,1800 Vilvoorde,,
https://www.immoweb.be/en/classified/duplex/for-sale/la-hulpe/1310/20309827,,Duplex,Installed,,,No,,335000,2.0,2.0,,,,Duplex,,1310 LA HULPE,,
https://www.immoweb.be/en/classified/apartment/for-sale/aalst/9300/20263566,,Apartment,,,,,,279000,,2.0,,To be done up,,Apartment,,9300 AALST,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20261869,,Apartment,,,,No,,395000,,2.0,,To be done up,,Apartment,,9000 Gent,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/leopoldsburg/3970/20236859,,Residentie De Krahé,,,,,,From243000To280000,,,,,,Residentie De Krahé,,3970 Leopoldsburg,,
https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/20278401,,Apartment,,,,No,,175000,,2.0,,Good,,Apartment,Yes,8800 Roeselare,,
https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/20278617,,Apartment,,,,,,389000,,4.0,,Good,,Apartment,,8000 Brugge,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20278562,,Apartment,,,,,,1650000,,3.0,,As new,,Apartment,Yes,8300 Knokke,,
https://www.immoweb.be/en/classified/apartment/for-sale/ecaussinnes/7190/20286294,,Apartment,Installed,,,No,,239000,2.0,4.0,,Good,,Apartment,,7190 Ecaussinnes,,
https://www.immoweb.be/en/classified/apartment/for-sale/verviers/4800/20286260,,Apartment,Installed,,,No,12,259000,3.0,3.0,,Good,,Apartment,,4800 Verviers,,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2020/20286374,,Apartment,,,,,2,275000,,2.0,,As new,,Apartment,,2020 Antwerpen,,
https://www.immoweb.be/en/classified/duplex/for-sale/bruxelles/1000/20284649,,Duplex,Hyper equipped,,,No,10,345000,2.0,2.0,,As new,,Duplex,,1000 Bruxelles,,
https://www.immoweb.be/en/classified/apartment/for-sale/de-panne/8660/20285353,,Apartment,,,,No,,460000,,4.0,,Good,,Apartment,Yes,8660 De Panne,,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20280617,,Apartment,Hyper equipped,,,Yes,8,279000,2.0,2.0,,Good,,Apartment,,8400 Oostende,,
https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/20302566,,Apartment,,,,No,56,750000,,3.0,,,,Apartment,,8500 Kortrijk,,
https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/20211920,,Apartment,Hyper equipped,,,No,,320000,,2.0,,Good,,Apartment,Yes,8434 Westende,,
https://www.immoweb.be/en/classified/flat-studio/for-sale/oostende/8400/20255712,,Flat studio,,,,No,,119000,,,,To be done up,,Flat studio,,8400 Oostende,,
https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/11378056,,Apartment,,,,No,,230000,,2.0,,Good,,Apartment,Yes,8800 Roeselare,,
https://www.immoweb.be/en/classified/apartment/for-sale/merelbeke/9820/20253523,,Apartment,Installed,,,No,,249000,,2.0,,To be done up,,Apartment,,9820 Merelbeke,,
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20223016,,Apartment,Installed,,,No,20,299000,2.0,2.0,,As new,,Apartment,,1070 Anderlecht,,
https://www.immoweb.be/en/classified/apartment/for-sale/booischot/2221/20255709,,Apartment,,,,,,415000,,3.0,,Good,,Apartment,Yes,2221 Booischot,,
https://www.immoweb.be/en/classified/apartment/for-sale/lille/2275/20316717,,Apartment,,,,No,23,299000,2.0,3.0,,As new,,Apartment,,2275 Lille,,
https://www.immoweb.be/en/classified/apartment/for-sale/herstal/4040/20315822,,Apartment,Hyper equipped,,,Yes,16,310000,2.0,3.0,,As new,,Apartment,,4040 Herstal,,
https://www.immoweb.be/en/classified/duplex/for-sale/antwerpen/2000/20316873,,Duplex,,,,No,,409000,2.0,2.0,,Good,,Duplex,Yes,2000 Antwerpen,,
